2025-08-12 16:16:01.132  1123-1256  ApfFilter               com.android.networkstack.process     D  (wlan0): Adding RA fe80::2 -> ff02::1 1800s fec0::/64 86400s/14400s
2025-08-12 16:16:02.453   747-895   ActivityManager         system_server                        I  Force stopping com.pseddev.singventory appid=10233 user=0: from pid 5155
2025-08-12 16:16:02.454   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.455   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.456   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.456   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.456   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.456   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.456   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.457   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.457   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.457   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.457   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.457   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.458   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.458   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.458   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.459   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.459   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.459   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.460   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.460   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.460   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.460   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.460   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.460   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.460   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.461   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.461   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.461   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.461   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.461   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.461   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.461   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.462   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.462   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.462   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
